loopIteration, time (us), axisRate[0], axisRate[1], axisRate[2], axisP[0], axisP[1], axisP[2], axisI[0], axisI[1], axisI[2], axisD[0], axisD[1], axisF[0], axisF[1], axisF[2], mcPosAxisP[0], mcPosAxisP[1], mcPosAxisP[2], mcVelAxisP[0], mcVelAxisP[1], mcVelAxisP[2], mcVelAxisI[0], mcVelAxisI[1], mcVelAxisI[2], mcVelAxisD[0], mcVelAxisD[1], mcVelAxisD[2], mcVelAxisFF[0], mcVelAxisFF[1], mcVelAxisFF[2], mcVelAxisOut[0], mcVelAxisOut[1], mcVelAxisOut[2], mcSurfaceP, mcSurfaceI, mcSurfaceD, mcSurfaceOut, rcData[0], rcData[1], rcData[2], rcData[3], rcCommand[0], rcCommand[1], rcCommand[2], rcCommand[3], vbat, amperage, BaroAlt (cm), rssi, gyroADC[0], gyroADC[1], gyroADC[2], gyroRaw[0], gyroRaw[1], gyroRaw[2], gyroPeakRoll[0], gyroPeakRoll[1], gyroPeakRoll[2], gyroPeakPitch[0], gyroPeakPitch[1], gyroPeakPitch[2], gyroPeakYaw[0], gyroPeakYaw[1], gyroPeakYaw[2], accSmooth[0], accSmooth[1], accSmooth[2], accVib, attitude[0], attitude[1], attitude[2], motor[0], motor[1], motor[2], motor[3], navState, navFlags, navEPH, navEPV, navPos[0], navPos[1], navPos[2], navVel[0], navVel[1], navVel[2], navTgtVel[
 16, 40, 4294967284,   0,   0,   0, 4294967289,   0, 4294967293,  26, 4294967283, 4294967293,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   9, 4294967295,   3, 4294967269, 4294967288, 4294967286,   0,   0, 0,   0,   0,   0,   1,   1, 4294967289,   8, 4294967287,  26,  88,   0,   0,   0, 117,  99,   3,   5,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   3,   5,  12
115, 40, 1205,   0, 4294967295,   0,  41, 4294967294,   2,  24, 193, 4294967285,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4294967275,   1, 4294967295, 4294967279,   1,   1,   0,   0, 0,   0,   0,   0, 4294967294, 4294967280, 4294967281, 4294967280, 4294966969, 4294967263, 4294967266,   1,   1,   0, 4294966952, 4294966984, 119, 150,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0, 4294967279, 156, 4294967285
